업종,체육시설명,시설위치
족구장,검암체육공원 족구장,경상남도 함안군 가야읍 중검길 73-3
게이트볼장,건강장수마을 게이트볼장,"경상남도 함안군 가야읍 신음리 557-1, 557-2"
풋살장,검암체육공원 풋살장,경상남도 함안군 가야읍 중검길 73-3
테니스장,함안군 환경기초시설 테니스장,경상남도 함안군 가야읍 남경길 107-123
축구장,함안공설운동장(축구장),경상남도 함안군 가야읍 도항리 264-1 일원
볼링장,함안스포츠타운 볼링장,경상남도 함안군 가야읍 도항리 264-1 일원
축구장,스포츠타운 축구장1,경상남도 함안군 가야읍 도항리 264-1 일원
축구장,스포츠타운 축구장2,경상남도 함안군 가야읍 도항리 264-1 일원
축구장,스포츠타운 축구장3,경상남도 함안군 가야읍 도항리 264-1 일원
국궁장,가야정,경상남도 함안군 가야읍 도항리 264-1 일원
생활체육관,"함안체육관(수영장,헬스장)",경상남도 함안군 가야읍 도항리 264-1 일원
축구장,함안스포츠타운 축구전용구장1,경상남도 함안군 가야읍 도항리 264-1 일원
축구장,함안스포츠타운 축구전용구장2,경상남도 함안군 가야읍 도항리 264-1 일원
테니스장,함안스포츠타운 테니스장,경상남도 함안군 가야읍 도항리 264-1 일원
야구장,스포츠파크 야구장,경상남도 함안군 가야읍 도항리 264-1 일원
농구장,함안스포츠타운 농구장,경상남도 함안군 가야읍 도항리 264-1 일원
족구장,함안스포츠타운 족구장,경상남도 함안군 가야읍 도항리 264-1 일원
그라운드골프장,그라운드골프장,경상남도 함안군 가야읍 도항리 264-1 일원
풋살장,함안스포츠타운 풋살장,경상남도 함안군 가야읍 도항리 264-1 일원
씨름장,함안스포츠타운 씨름장,경상남도 함안군 가야읍 도항리 264-1 일원
게이트볼장,함안스포츠타운 게이트볼장,경상남도 함안군 가야읍 도항리 264-1 일원
생활체육관,"함안스포츠타운 탁구장,GX류",경상남도 함안군 가야읍 도항리 264-1 일원
생활체육관,국민체육센터,경상남도 함안군 칠원읍 용산리 317-7
축구장,칠원읍 공설운동장,경상남도 함안군 칠원읍 용산리 322
테니스장,칠원 테니스장,경상남도 함안군 칠원읍 용산리 322
게이트볼장,칠원 게이트볼장,경상남도 함안군 칠원읍 용산리 322
탁구장,함안 삼칠탁구장,경상남도 함안군 칠원읍 용산리 322
족구장,칠원 족구장,경상남도 함안군 칠원읍 오곡리 572-1
족구장,오곡체육공원 족구장,경상남도 함안군 칠원읍 오곡리 1175-1
풋살장,오곡체육공원 풋살장,경상남도 함안군 칠원읍 오곡리 1175-1
축구장,함안면 공설운동장,경상남도 함안군 함안면 북촌리 1030
게이트볼장,함안 게이트볼장,경상남도 함안군 함안면 북촌리 1019-1
축구장,군북면 공설운동장,경상남도 함안군 군북면 중암리 17-1
구기체육관,군북 31기념체육관,경상남도 함안군 군북면 소포리 536
게이트볼장,군북 게이트볼장,함안군 군북면 덕대리 403-2
게이트볼장,월촌 게이트볼장,경상남도 함안군 군북면 월촌리 1631-1
국궁장,백이정,경상남도 함안군 군북면 소포리 1433-6
국궁장,와룡정,경상남도 함안군 군북면 월촌리 1631-7
그라운드골프,군북 그라운드골프장,경상남도 함안군 군북면 중암리 106-7
족구장,군북 족구장,경상남도 함안군 군북면 중암리 17-1
파크골프장,군북 파크골프장,경상남도 함안군 군북면 사도리 1306
축구장,법수면 공설운동장,경상남도 함안군 법수면 국우로 271
게이트볼장,법수 게이트볼장,경상남도 함안군 법수면 우거리 513
국궁장,마륜정,경상남도 함안군 법수면 우거리 921
그라운드골프,법수 그라운드골프장,경상남도 함안군 법수면 국우로 273-5
족구장,법수 족구장,경상남도 함안군 법수면 대법로 3-3
파크골프장,함안 파크골프장,경상남도 함안군 법수면 주물리 351
축구장,대산면 공설운동장,경상남도 함안군 대산면 구혜리 163
게이트볼장,대산 게이트볼장,경상남도 함안군 대산면 구혜리 163
그라운드골프,대산 그라운드골프장,경상남도 함안군 대산면 구혜리 163
테니스장,대산 테니스장,경상남도 함안군 대산면 구혜리 163
족구장,대산 족구장,경상남도 함안군 대산면 구혜리 163
축구장,칠서면 공설운동장,경상남도 함안군 칠서면 공단북길 45
야구장,칠서면 강나루생태공원 야구장,경상남도 함안군 칠서면 이룡리 998
구기체육관,칠서 이룡체육관,경상남도 함안군 칠서면 삼칠로 1315-13
게이트볼장,칠서 게이트볼장,경상남도 함안군 칠서면 본용성길 143-57
게이트볼장,칠서 에이스아파트 게이트볼장,경상남도 함안군 칠서면 칠평로 74
족구장,칠서 족구장,경상남도 함안군 칠서면 공단북길 45
족구장,칠서 무릉체육공원 족구장,경상남도 함안군 칠서면 무릉리 1126-1
테니스장,칠서 테니스장,경상남도 함안군 칠서면 향촌길 20
파크골프장,강나루 파크골프장,경상남도 함안군 칠서면 이룡리 일원
축구장,칠북면 공설운동장,경상남도 함안군 칠북면 덕남길 113-9
게이트볼장,칠북 게이트볼장,경상남도 함안군 칠북면 이령리 230-12 
축구장,산인면 공설운동장,경상남도 함안군 산인면 입곡공원길 224-15
게이트볼장,산인 모곡 게이트볼장,경상남도 함안군 산인면 대천길 11
축구장,여항면 공설운동장,경상남도 함안군 여항면 외암리 740
