의료기관명,의료기관종별,의료기관주소(도로명),의료기관전화번호
시영의료재단 영동병원,병원,경상남도 함안군 칠원읍 용산2길 45-13,055-586-2000
우리병원,병원,경상남도 함안군 칠서면 삼칠로 1213,055-589-9800
의료법인 학산의료재단 아라한국병원,병원,경상남도 함안군 산인면 학산2길 17-50,055-582-8088
의료법인 시영의료재단 함안요양병원,일반요양병원,경상남도 함안군 칠원읍 예곡1길 13,055-586-5009
유천의료재단새롬재활요양병원,일반요양병원,경상남도 함안군 칠원읍 용산2길 45-13,055-580-5800
함안군보건소,보건소,경상남도 함안군 가야읍 중앙남4길 10,055-580-3141
함안면보건지소,보건지소,경상남도 함안군 함안면 성산로 4,055-580-3231
법수면보건지소,보건지소,경상남도 함안군 법수면 문화마을1길 26,055-580-3233
대산면보건지소,보건지소,경상남도 함안군 대산면 대산중앙로 176,055-580-3234
칠북면보건지소,보건지소,경상남도 함안군 칠북면 단내로 8,055-580-3235
군북면보건지소,보건지소,경상남도 함안군 군북면 함마대로 768,055-580-3232
칠서면보건지소,보건지소,경상남도 함안군 칠서면 칠평로 36,055-580-4081
청계보건진료소,보건진료소,경상남도 함안군 칠서면 청계2길 25-34,055-580-4095
여항보건진료소,보건진료소,경상남도 함안군 여항면 여항로 50,055-580-4099
부목보건진료소,보건진료소,경상남도 함안군 대산면 대부로 371,055-580-4094
문암보건진료소,보건진료소,경상남도 함안군 산인면 모곡1길 14,055-580-4098
월촌보건진료소,보건진료소,경상남도 함안군 군북면 강둑아랫길 7,055-580-4091
백산보건진료소,보건진료소,경상남도 함안군 법수면 백산길 34-10,055-580-4092
이령보건진료소,보건진료소,경상남도 함안군 칠북면 이령2길 20,055-580-4097
장암보건진료소,보건진료소,경상남도 함안군 대산면 구암로 142,055-580-4093
이룡보건진료소,보건진료소,경상남도 함안군 칠서면 삼칠로 1306,055-580-4096
회성의원,의원,경상남도 함안군 가야읍 가야6길 17,055-583-2018
상쾌한이비인후과의원,의원,"경상남도 함안군 가야읍 가야로 40, 2층",055-584-3975
성심의원,의원,"경상남도 함안군 가야읍 가야로 50, 2,3층",055-585-8288
함안미래산부인과의원,의원,"경상남도 함안군 가야읍 가야로 69, 3층 301호",055-585-8275
박내과의원,의원,"경상남도 함안군 가야읍 남경길 32, 2층",055-584-3300
아라의원,의원,경상남도 함안군 가야읍 방목1길 16-27,055-585-8825
인제의원,의원,"경상남도 함안군 가야읍 함마대로 1636-16, 2층 ",055-583-1010
명성마취통증의학과의원,의원,"경상남도 함안군 가야읍 함마대로 1636-16, 3층",055-585-7500
참사랑의원,의원,경상남도 함안군 가야읍 중앙남1길 34,055-583-1929
고려의원,의원,"경상남도 함안군 가야읍 함안대로 548, 1,2층",055-583-2211
함안성모안과의원,의원,"경상남도 함안군 가야읍 남경길 32, 1층 103호",055-582-1700
함안사랑연합의원,의원,"경상남도 함안군 가야읍 함마대로 1494 3,4층",055-583-8821
제일의원,의원,경상남도 함안군 군북면 중암8길 12-10,055-585-7560
구자운의원,의원,경상남도 함안군 군북면 중암7길 39,055-585-5111
늘푸른의원,의원,"경상남도 함안군 군북면 함마대로 805, 1층",055-585-7582
경희의원,의원,경상남도 함안군 대산면 대산중앙로 203,055-582-9800
복음의원,의원,경상남도 함안군 대산면 대산중앙로 218-2,055-582-7533
진성의원,의원,경상남도 함안군 칠원읍 성내길 14,055-587-7670
윤의원,의원,경상남도 함안군 칠원읍 구성길 30,055-587-9592
보람가정의학과의원,의원,경상남도 함안군 칠원읍 원서로 10,055-586-0501
우리들의원,의원,"경상남도 함안군 칠원읍 호암길 14, 202호",055-586-4757
서울치과의원,치과의원,경상남도 함안군 가야읍 가야6길 17,055-583-2724
상아치과의원,치과의원,"경상남도 함안군 가야읍 가야로 33-1, 2층",055-585-2875
가야치과의원,치과의원,"경상남도 함안군 가야읍 가야로 45, 2층",055-583-5901
함안굿스마일치과의원,치과의원,경상남도 함안군 가야읍 남경길 20,055-582-5100
연세미치과의원,치과의원,"경상남도 함안군 가야읍 남경길 32, 3층",055-586-2875
함안치과의원,치과의원,"경상남도 함안군 가야읍 함마대로 1636-16, 2층",055-584-2888
아라치과의원,치과의원,경상남도 함안군 가야읍 함안대로 569,055-583-1390
79플란트치과의원,치과의원,"경상남도 함안군 가야읍 가야로 60, 6층(홍성빌딩)",055-585-7928
함안우리치과의원,치과의원,"경상남도 함안군 가야읍 함마대로 1494, 2층",055-583-2882
군북치과의원,치과의원,경상남도 함안군 군북면 중암7길 12,055-585-1875
함안이편한치과의원,치과의원,"경상남도 함안군 군북면 함마대로 826, 2층",055-584-7700
오치과의원,치과의원,경상남도 함안군 칠원읍 서남길 3,055-587-2875
현대치과의원,치과의원,경상남도 함안군 칠원읍 원서로 16-2,055-587-5825
조은치과의원,치과의원,"경상남도 함안군 칠원읍 원서로 3, 2층",055-586-2874
고운미소치과의원,치과의원,"경상남도 함안군 칠원읍 호암길 22, 305호 ",055-586-5875
영남한의원,한의원,"경상남도 함안군 가야읍 가야9길 14, 2층 201호",055-583-5352
이태호한의원,한의원,경상남도 함안군 가야읍 가야로 76,055-584-2221
황제한의원,한의원,경상남도 함안군 가야읍 함마대로 1636-16,055-585-8838
심한의원,한의원,"경상남도 함안군 가야읍 함안대로 574, 2층",055-585-7030
늘봄한의원,한의원,"경상남도 함안군 가야읍 남경길 32, 5층",055-585-1079
제중당한의원,한의원,경상남도 함안군 군북면 함마대로 817,055-585-3077
대산한의원,한의원,경상남도 함안군 대산면 대산중앙로 213-1,055-582-4752
본가한의원,한의원,경상남도 함안군 대산면 대산중앙로 224,055-583-1075
고한의원,한의원,경상남도 함안군 칠원읍 구성길 28,055-587-7898
조아라한의원,한의원,"경상남도 함안군 칠원읍 호암길 22, 3층 ",055-586-1075
재덕한의원,한의원,경상남도 함안군 칠원읍 용산2길 12,055-587-8500
칠원 우리한의원,한의원,경상남도 함안군 칠원읍 원서로 9,055-587-5855
