기관명,주소,전화번호
함안군보건소,경상남도 함안군 경상남도 함안군 가야읍 중앙남 4길 10,055-580-3034
함안면보건지소,경상남도 함안군 함안면 성산로 4,055-580-3231
군북면보건지소,경상남도 함안군 경상남도 함안군 군북면 함마대로 768,055-580-3231
법수면보건지소,경상남도 함안군 경상남도 함안군 법수면 문화마을1길 26,055-580-3233
대산면보건지소,경상남도 함안군 경상남도 함안군 대산면 함의로 996,055-580-3233
칠북면보건지소,경상남도 함안군 칠북면 칠북로 20,055-580-3235
칠서면보건지소,경상남도 함안군 칠서면 칠평로 36,055-580-4081
월촌보건진료소,경상남도 함안군 경상남도 함안군 군북면 강둑아랫길 7,055-582-7440
백산보건진료소,경상남도 함안군 경상남도 함안군 법수면 백산길 34-10,055-582-3577
장암보건진료소,경상남도 함안군 경상남도 함안군 대산면 구암로 162,055-582-9316
부목보건진료소,경상남도 함안군 경상남도 함안군 대산면 대부로 367,055-583-7211
청계보건진료소,경상남도 함안군 경상남도 함안군 칠서면 청계2길 25-12 ,055-587-0189
이룡보건진료소,경상남도 함안군 경상남도 함안군 칠서면 삼칠로 1306,055-587-5394
이령보건진료소,경상남도 함안군 칠북면 이령2길 20,055-587-4105
문암보건진료소,경상남도 함안군 산인면 모곡1길 16,055-582-0661
여항보건진료소,경상남도 함안군 여항면 여항로 50,055-582-2557
롯데약국,경상남도 함안군 가야읍 함안대로 564,055-582-4822
미소약국,"경상남도 함안군 가야읍 가야로 40, 1층",055-583-1953
함안약국,경상남도 함안군 가야읍 가야로 45,055-583-2047
삼일약국,경상남도 함안군 가야읍 가야로 50,055-584-3169
성모약국,경상남도 함안군 가야읍 남경길 32,055-583-7055
중앙약국,경상남도 함안군 가야읍 방목1길 16-27,055-583-2462
주차장약국,경상남도 함안군 가야읍 함마대로 1636-16,055-583-6566
예림약국,경상남도 함안군 가야읍 중앙남1길 34,055-582-4245
고려약국,경상남도 함안군 가야읍 함안대로 550,055-583-2990
열린약국 ,경상남도 함안군 가야읍 함마대로 1494,055-585-3850
아라큰약국,경상남도 함안군 산인면 학산2길 17-52,055-585-7335
맑은우리들약국,경상남도 함안군 경상남도 함안군 군북면 중암7길 7,055-585-0233
솔약국,경상남도 함안군 경상남도 함안군 군북면 중암7길 39,055-585-7787
조일당약국,경상남도 함안군 군북면 함마대로 805,055-585-5012
대지약국,경상남도 함안군 대산면 대산중앙로 204,055-583-8075
대산복음약국,경상남도 함안군 대산면 대산중앙로 211,055-585-0717
법수약국,경상남도 함안군 법수면 법정로 7,055-584-2922
칠서약국,경상남도 함안군 칠서면 함의로 71,055-587-7577
보건당약국,경상남도 함안군 칠원읍 구성길 34,055-587-0024
칠원제일약국,경상남도 함안군 칠원읍 성내길 7,055-587-1162
우리약국,경상남도 함안군 칠원읍 용산2길 57,055-586-7122
평화약국,경상남도 함안군 칠원읍 용산2길 7,055-587-2939
태양약국,경상남도 함안군 칠원읍 원서로 16,055-587-5694
자이약국,"경상남도 함안군 칠원읍 호암길 14, 104호",055-586-0816
