연번,시설명,소재지,1일 평균 이용자수
1,거제시 일운약수터,거제시 일운면 와현리 산34-15,200
2,거제시 산양약수터,거제시 동부면 산양리 940-6,0
3,거제시 참샘약수터,거제시 연초면 덕치리 산83,10
4,거제시 앵산약수터,거제시 하청면 유계리 산127-1,100
5,거제시 힐사이드약수터,거제시 옥포2동 1230-1,100
6,거제시 선창샘,거제시 둔덕면 하둔리 363-1,20
7,거제시 독봉산약수터,거제시 고현동 340,50
8,거제시 계룡사약수터,거제시 고현동 505-9,100
9,거창군 건계정,경상남도 거창군 거창읍 상림리 산 234-1,250
10,거창군 거열산성,경상남도 거창군 거창읍 상림리 산 45-3,150
11,거창군 감악산,경상남도 거창군 신원면 덕산리 산 13,200
12,고성군 남산약수터,고성군 고성읍 동외리 369-2,100
13,고성군 연화산약수터,고성군 영현명 연화리 산24,50
14,김해시 서재골(상),경상남도 김해시 동상동 산2-1번지,95
15,김해시 서재골(하),경상남도 김해시 동상동 산2-1번지,95
16,김해시 경운사(하),경상남도 김해시 외동 825,100
17,김해시 물망골,경상남도 김해시 구산동 산57-1번지,80
18,김해시 광장,경상남도 김해시 삼방동 산120-1번지,150
19,사천시 각산,사천시 동동 산 1,60
20,사천시 대방,사천시 대방동 산 2,60
21,사천시 계양,사천시 사남면 계양리 산 18,70
22,사천시 산성,사천시 사천읍 선인리 580-2,80
23,산청군 금강도,산청읍 옥산리 108,10
24,산청군 청계,단성면 운리산35,10
25,양산시 신기산성약수터,신기동 산 20,50
26,양산시 북정약수터,북정동 산 35,80
27,양산시 평산공동우물,하북면 지산리 265-2,90
28,양산시 참물샘약수터,원동면 대리 산 69-12,90
29,양산시 천정약수터,주진동 산 75-3,80
30,창녕군 자하곡,창녕읍 송현리 산 2-1,50
31,창녕군 함박산,영산면 교리 산 38-2,50
32,의창구 우곡사,의창구 동읍 단계리 7,60
33,의창구 누룩,의창구 도계동 913-9,20
34,의창구 달천계곡,의창구 북면 외감리 산67,200
35,의창구 천주산,의창구 동정동 산15,150
36,의창구 천주산입구,의창구 동정동 917,150
37,의창구 태복산2,의창구 명곡동 산11-1,50
38,의창구 태복산3,의창구 명곡동 산3,100
39,의창구 사격장뒤,의창구 퇴촌동 산34,100
40,의창구 앤골,의창구 봉림동 798-1,50
41,의창구 가마골,의창구 봉림동 산26,120
42,의창구 봉림사지,의창구 봉림동 산108-1,80
43,의창구 봉산,의창구 동읍 봉산리 산41-1,100
44,의창구 용추계곡,의창구 용동 산61,150
45,성산구 대암산1,성산구 대방동 산101,150
46,성산구 불곡사,성산구 대방동 산6-3,100
47,성산구 성주사,성산구 천선동 산213-14,100
48,성산구 갈미봉,성산구 귀현동 산23-3,50
49,창원시 밭터,마산합포구  구산면 유산리 산 102-1,50
50,창원시 수발사,마산합포구  진전면 봉암리 산 145,10
51,창원시 무곡탑(상),마산합포구  완월동 산 98-63,100
52,창원시 자산,마산합포구  자산동 25-17,300
53,창원시 무학산기도원,마산합포구  교방동 산 34-2,200
54,창원시 등나무산장,마산합포구  교방동 산 31,200
55,창원시 제2금강산,마산회원구 합성동 산152-1,300
56,창원시 만수봉,마산회원구 구암동 산106,500
57,창원시 창신,마산회원구 봉암동 산103,200
58,창원시 구미,마산회원구 내서읍 호계리 243,150
59,창원시 전안,마산회원구 내서읍 감천리 1408,50
60,창원시 안개,마산회원구 내서읍 감천리 산131,50
61,창원시 만날제,마산합포구 월영동 695,200
62,창원시 자은하구,진해구 자은동 산1-13,80
63,창원시 도불산,진해구 경화동 산18-2,30
64,창원시 도불천,진해구 태백동 산52-3,0
65,창원시 자은,진해구 자은동 산1-3,80
66,창원시 시루,진해구 자은동 산1-1,150
67,창원시 자은본동,진해구 자은동 산1-1,80
68,통영시 안정사,경상남도 통영시 광도면 안정리 1969-8,50
69,통영시 미륵등,경상남도 통영시 봉수로 107-82,80
70,통영시 약천,경상남도 통영시 미수동 931-8,80
71,통영시 원당골,경상남도 통영시 미수동 172-1,100
72,통영시 선금산,경상남도 통영시 미수동 602-2,100
73,함양군 상림약수터,경상남도 함양군 함양읍 운림리 349-2,80
74,함양군 백운산약수터,경남 함양군 백전면 백운리 산91-8,30
75,합천군 활터약수터,합천군 합천읍 합천리 198,0
76,합천군 황매약수터,합천군 대병면 회양리 10-1,80
