순번,카페명,상세페이지 링크,주소,위도,경도
01,더이스트,https://www.haman.go.kr/02373/02374/03546.web?amode=view&idx=432&pageunit=999&category=R0800,경상남도 함안군 가야읍 중앙남길 34,128.408682232009,35.2747926668474
02,카페 1946,https://www.haman.go.kr/02373/02374/03546.web?amode=view&idx=434&pageunit=999&category=R0800,경상남도 함안군 가야읍 하검길 125-3,128.420415060804,35.2759033278114
03,커피와 소나무,https://www.haman.go.kr/02373/02374/03546.web?amode=view&idx=435&pageunit=999&category=R0800,경상남도 함안군 가야읍 광정로 145,128.410055130263,35.2559085957411
04,1219,https://www.haman.go.kr/02373/02374/03546.web?amode=view&idx=436&pageunit=999&category=R0800,경상남도 함안군 칠원읍 용산1길 21,128.517375529631,35.3084239683675
05,꽃담자리,https://www.haman.go.kr/02373/02374/03546.web?amode=view&idx=438&pageunit=999&category=R0800,경상남도 함안군 칠원읍 예용로 3,128.523949925642,35.2779024996925
06,커피 더 보라,https://www.haman.go.kr/02373/02374/03546.web?amode=view&idx=437&pageunit=999&category=R0800,경상남도 함안군 칠원읍 용산1길 33,128.516935839415,35.3089232705788
07,무진,https://www.haman.go.kr/02373/02374/03546.web?amode=view&idx=439&pageunit=999&category=R0800,경상남도 함안군 함안면 함안대로 257,128.423314094378,35.2549095891181
08,식목일,https://www.haman.go.kr/02373/02374/03546.web?amode=view&idx=466&pageunit=999&category=R0800,경상남도 함안군 함안면 함안대로 255,128.422914602954,35.2549038335911
09,카페.북촌,https://www.haman.go.kr/02373/02374/03546.web?amode=view&idx=441&pageunit=999&category=R0800,경상남도 함안군 함안면 북촌1길 15-15,128.42122846361,35.242924910383
10,카페다희,https://www.haman.go.kr/02373/02374/03546.web?amode=view&idx=299&pageunit=999&category=R0800,경상남도 함안군 함안면 함안대로 98,128.422225888007,35.2407624391643
11,꽃대궐 part 2,https://www.haman.go.kr/02373/02374/03546.web?amode=view&idx=304&pageunit=999&category=R0800,경상남도 함안군 대산면 대산중앙로 11-2,128.446242655178,35.3422831810204
12,27℃ 제빵소,https://www.haman.go.kr/02373/02374/03546.web?amode=view&idx=445&pageunit=999&category=R0800,경상남도 함안군 산인면 모곡5길 19-59,128.468424051042,35.2744040847437
13,함안불빵&마틴,https://www.haman.go.kr/02373/02374/03546.web?amode=view&idx=446&pageunit=999&category=R0800,경상남도 함안군 산인면 함마대로 1828-1,128.429304393613,35.2770676598667
